model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CBM,09,reserve,2049,77.88,2.593
CBM,09,reserve,2050,78.387,2.61
CBM,09,reserve,2051,78.89,2.627
CBM,09,reserve,2052,79.39,2.644
CBM,09,reserve,2053,79.886,2.66
CBM,09,reserve,2054,80.378,2.677
CBM,09,reserve,2055,80.867,2.693
CBM,09,reserve,2056,81.352,2.709
CBM,09,reserve,2057,81.833,2.725
CBM,09,reserve,2058,82.31,2.741
CBM,09,reserve,2059,82.784,2.757
CBM,09,reserve,2060,83.254,2.772
CBM,09,reserve,2061,83.721,2.788
CBM,09,reserve,2062,84.184,2.803
CBM,09,reserve,2063,84.644,2.819
CBM,09,reserve,2064,85.1,2.834
CBM,09,reserve,2065,85.552,2.849
CBM,09,reserve,2066,86.002,2.864
CBM,09,reserve,2067,86.448,2.879
CBM,09,reserve,2068,86.89,2.893
CBM,09,reserve,2069,87.329,2.908
CBM,09,reserve,2070,87.765,2.923
CBM,09,reserve,2071,88.197,2.937
CBM,09,reserve,2072,88.627,2.951
CBM,09,reserve,2073,89.053,2.965
CBM,09,reserve,2074,89.475,2.98
CBM,09,reserve,2075,89.895,2.994
CBM,09,reserve,2076,90.311,3.007
CBM,09,reserve,2077,90.725,3.021
CBM,09,reserve,2078,91.135,3.035
CBM,09,reserve,2079,91.542,3.048
CBM,09,reserve,2080,91.946,3.062
CBM,09,reserve,2081,92.346,3.075
CBM,09,reserve,2082,92.744,3.088
CBM,09,reserve,2083,93.139,3.102
CBM,09,reserve,2084,93.531,3.115
CBM,09,reserve,2085,93.92,3.128
CBM,09,reserve,2086,94.306,3.14
CBM,09,reserve,2087,94.689,3.153
CBM,09,reserve,2088,95.069,3.166
CBM,09,reserve,2089,95.446,3.178
CBM,09,reserve,2090,95.82,3.191
CBM,09,reserve,2091,96.192,3.203
CBM,09,reserve,2092,96.56,3.215
CBM,09,reserve,2093,96.926,3.228
CBM,09,reserve,2094,97.289,3.24
CBM,09,reserve,2095,97.65,3.252
CBM,09,reserve,2096,98.007,3.264
CBM,09,reserve,2097,98.362,3.275
CBM,09,reserve,2098,98.715,3.287
CBM,09,reserve,2099,99.064,3.299
CBM,09,reserve,2100,99.411,3.31
CBM,10,reserve,2025,12.66,0.786
CBM,10,reserve,2026,12.766,0.793
CBM,10,reserve,2027,12.871,0.799
CBM,10,reserve,2028,12.976,0.806
CBM,10,reserve,2029,13.079,0.812
CBM,10,reserve,2030,13.182,0.819
CBM,10,reserve,2031,13.285,0.825
CBM,10,reserve,2032,13.386,0.831
CBM,10,reserve,2033,13.487,0.838
CBM,10,reserve,2034,13.587,0.844
CBM,10,reserve,2035,13.686,0.85
CBM,10,reserve,2036,13.785,0.856
CBM,10,reserve,2037,13.882,0.862
CBM,10,reserve,2038,13.979,0.868
CBM,10,reserve,2039,14.076,0.874
CBM,10,reserve,2040,14.172,0.88
CBM,10,reserve,2041,14.267,0.886
CBM,10,reserve,2042,14.361,0.892
CBM,10,reserve,2043,14.455,0.898
CBM,10,reserve,2044,14.548,0.903
CBM,10,reserve,2045,14.64,0.909
CBM,10,reserve,2046,14.731,0.915
CBM,10,reserve,2047,14.822,0.92
CBM,10,reserve,2048,14.913,0.926
CBM,10,reserve,2049,15.002,0.932
CBM,10,reserve,2050,15.091,0.937
CBM,10,reserve,2051,15.18,0.943
CBM,10,reserve,2052,15.267,0.948
CBM,10,reserve,2053,15.355,0.954
CBM,10,reserve,2054,15.441,0.959
CBM,10,reserve,2055,15.527,0.964
CBM,10,reserve,2056,15.612,0.97
CBM,10,reserve,2057,15.696,0.975
CBM,10,reserve,2058,15.78,0.98
CBM,10,reserve,2059,15.864,0.985
CBM,10,reserve,2060,15.947,0.99
CBM,10,reserve,2061,16.029,0.995
CBM,10,reserve,2062,16.11,1
CBM,10,reserve,2063,16.191,1.005
CBM,10,reserve,2064,16.272,1.01
CBM,10,reserve,2065,16.351,1.015
CBM,10,reserve,2066,16.431,1.02
CBM,10,reserve,2067,16.509,1.025
CBM,10,reserve,2068,16.587,1.03
CBM,10,reserve,2069,16.665,1.035
CBM,10,reserve,2070,16.742,1.04
CBM,10,reserve,2071,16.818,1.044
CBM,10,reserve,2072,16.894,1.049
CBM,10,reserve,2073,16.969,1.054
CBM,10,reserve,2074,17.044,1.058
CBM,10,reserve,2075,17.118,1.063
CBM,10,reserve,2076,17.192,1.068
CBM,10,reserve,2077,17.265,1.072
CBM,10,reserve,2078,17.337,1.077
CBM,10,reserve,2079,17.409,1.081
CBM,10,reserve,2080,17.481,1.086
CBM,10,reserve,2081,17.552,1.09
CBM,10,reserve,2082,17.622,1.094
CBM,10,reserve,2083,17.692,1.099
CBM,10,reserve,2084,17.762,1.103
CBM,10,reserve,2085,17.831,1.107
CBM,10,reserve,2086,17.899,1.112
CBM,10,reserve,2087,17.967,1.116
CBM,10,reserve,2088,18.035,1.12
CBM,10,reserve,2089,18.102,1.124
CBM,10,reserve,2090,18.168,1.128
CBM,10,reserve,2091,18.234,1.132
CBM,10,reserve,2092,18.3,1.136
CBM,10,reserve,2093,18.365,1.14
CBM,10,reserve,2094,18.429,1.144
CBM,10,reserve,2095,18.493,1.148
CBM,10,reserve,2096,18.557,1.152
