model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CEM,39,reserve,2070,177.17,5.862
CEM,39,reserve,2075,171.169,6.286
CEM,39,reserve,2080,166.246,5.685
CEM,39,reserve,2085,162.208,5.438
CEM,39,reserve,2090,158.807,5.948
CEM,39,reserve,2095,155.804,5.234
CEM,39,reserve,2100,152.807,5.285
CEM,40,reserve,2025,177.51,2.456
CEM,40,reserve,2030,175.41,2.988
CEM,40,reserve,2035,172.295,3.771
CEM,40,reserve,2040,167.643,4.045
CEM,40,reserve,2045,162.144,4.184
CEM,40,reserve,2050,156.255,3.585
CEM,40,reserve,2055,150,4.404
CEM,40,reserve,2060,143.978,3.846
CEM,40,reserve,2065,139.036,4.009
CEM,40,reserve,2070,134.161,4.1
CEM,40,reserve,2075,129.902,3.727
CEM,40,reserve,2080,126.155,3.391
CEM,40,reserve,2085,123.042,3.399
CEM,40,reserve,2090,120.252,3.355
CEM,40,reserve,2095,117.846,3.444
CEM,40,reserve,2100,115.819,3.643
CEM,41,reserve,2025,1022.66,6.999
CEM,41,reserve,2030,929.502,9.324
CEM,41,reserve,2035,873.726,11.772
CEM,41,reserve,2040,822.746,12.844
CEM,41,reserve,2045,773.384,14.017
CEM,41,reserve,2050,728.653,14.476
CEM,41,reserve,2055,691.586,14.243
CEM,41,reserve,2060,660.285,14.786
CEM,41,reserve,2065,631.469,13.795
CEM,41,reserve,2070,606.991,13.71
CEM,41,reserve,2075,586.024,12.589
CEM,41,reserve,2080,568.816,16.161
CEM,41,reserve,2085,553.23,15.587
CEM,41,reserve,2090,539.598,15.051
CEM,41,reserve,2095,525.559,15.797
CEM,41,reserve,2100,514.709,17.117
CEM,42,reserve,2025,551.02,2.599
CEM,42,reserve,2030,514.389,3.674
CEM,42,reserve,2035,490.611,4.489
CEM,42,reserve,2040,467.569,4.533
CEM,42,reserve,2045,444.633,4.438
CEM,42,reserve,2050,422.698,5.086
CEM,42,reserve,2055,401.549,4.598
CEM,42,reserve,2060,382.353,5.093
CEM,42,reserve,2065,364.265,4.435
CEM,42,reserve,2070,348.862,4.474
CEM,42,reserve,2075,334.975,4.377
CEM,42,reserve,2080,322.614,4.115
CEM,42,reserve,2085,311.789,3.83
CEM,42,reserve,2090,302.127,4.472
CEM,42,reserve,2095,294.15,4.107
CEM,42,reserve,2100,286.773,4.23
CEM,44,reserve,2025,12.75,0.779
CEM,44,reserve,2030,11.344,0.762
CEM,44,reserve,2035,10.888,0.737
CEM,44,reserve,2040,10.559,0.746
CEM,44,reserve,2045,10.32,0.743
CEM,44,reserve,2050,10.172,0.703
CEM,44,reserve,2055,10.038,0.692
CEM,44,reserve,2060,9.93,0.696
CEM,44,reserve,2065,9.861,0.706
CEM,44,reserve,2070,9.797,0.719
CEM,44,reserve,2075,9.747,0.737
CEM,44,reserve,2080,9.715,0.736
CEM,44,reserve,2085,9.674,0.739
CEM,44,reserve,2090,9.646,0.751
CEM,44,reserve,2095,9.624,0.751
CEM,44,reserve,2100,9.596,0.756
CEM,45,reserve,2025,325.11,1.895
CEM,45,reserve,2030,306.475,2.667
CEM,45,reserve,2035,302.82,2.993
CEM,45,reserve,2040,297.824,3.201
CEM,45,reserve,2045,291.998,3.585
CEM,45,reserve,2050,286.562,3.784
CEM,45,reserve,2055,281.862,3.814
CEM,45,reserve,2060,276.909,4.33
CEM,45,reserve,2065,272.748,3.92
CEM,45,reserve,2070,268.558,3.722
CEM,45,reserve,2075,265.26,4.274
CEM,45,reserve,2080,262.334,4.706
CEM,45,reserve,2085,259.09,4.839
CEM,45,reserve,2090,256.348,4.762
CEM,45,reserve,2095,253.796,5.14
CEM,45,reserve,2100,251.63,4.174
CEM,46,reserve,2025,22.21,0.653
CEM,46,reserve,2030,19.998,0.982
CEM,46,reserve,2035,18.17,0.946
CEM,46,reserve,2040,16.827,0.966
CEM,46,reserve,2045,15.677,0.875
CEM,46,reserve,2050,14.821,0.854
CEM,46,reserve,2055,13.974,0.924
CEM,46,reserve,2060,13.104,0.989
CEM,46,reserve,2065,12.554,0.857
CEM,46,reserve,2070,12.18,0.778
CEM,46,reserve,2075,11.942,0.806
CEM,46,reserve,2080,11.681,0.84
CEM,46,reserve,2085,11.49,0.786
CEM,46,reserve,2090,11.352,0.771
CEM,46,reserve,2095,11.177,0.709
CEM,46,reserve,2100,11.056,0.72
CEM,47,reserve,2025,461.09,5.255
CEM,47,reserve,2030,445.399,7.088
CEM,47,reserve,2035,430.712,8.118
CEM,47,reserve,2040,412.148,8.962
CEM,47,reserve,2045,392.345,9.112
CEM,47,reserve,2050,372.556,9.684
CEM,47,reserve,2055,355.761,8.105
CEM,47,reserve,2060,339.427,8.092
CEM,47,reserve,2065,323.186,8.692
CEM,47,reserve,2070,309.435,9.016
CEM,47,reserve,2075,297.255,9.175
CEM,47,reserve,2080,286.708,8.56
CEM,47,reserve,2085,277.477,7.565
CEM,47,reserve,2090,269.606,7.484
CEM,47,reserve,2095,262.919,6.72
CEM,47,reserve,2100,257.173,6.203
CEM,48,reserve,2025,479.11,6.235
CEM,48,reserve,2030,412.751,6.933
CEM,48,reserve,2035,388.048,7.943
CEM,48,reserve,2040,376.418,8.36
CEM,48,reserve,2045,369.936,8.32
CEM,48,reserve,2050,365.777,7.338
CEM,48,reserve,2055,362.944,7.118
CEM,48,reserve,2060,359.714,7.942
CEM,48,reserve,2065,355.968,7.901
CEM,48,reserve,2070,352.746,7.434
CEM,48,reserve,2075,350.907,6.68
CEM,48,reserve,2080,348.777,7.415
CEM,48,reserve,2085,346.967,7.191
CEM,48,reserve,2090,344.635,6.908
CEM,48,reserve,2095,341.877,6.678
CEM,48,reserve,2100,340.213,7.551
CEM,49,reserve,2025,133.07,1.771
CEM,49,reserve,2030,128.069,2.558
