plot_id,plt_cn,eco
20244,68659890010661,50
20244,65348805010661,49
20244,65912223010661,49
20245,65334228010661,47
20245,65241498010661,51
20245,92298923010661,47
20246,65246587010661,52
20247,65274206010661,51
20248,65097039010661,50
20248,92272069010661,50
20248,65716697010661,49
20248,65968950010661,50
20249,92272190010661,51
20250,68693043010661,51
20250,65782297010661,51
20250,68861070010661,50
20250,65767954010661,51
20251,66049632010661,50
20251,66003191010661,52
20251,68813433010661,49
20251,65734754010661,50
20252,66003989010661,52
20252,65576151010661,50
20252,65779767010661,50
20253,68789814010661,48
20253,65306126010661,48
20253,92638183010661,49
20253,68813680010661,49
20253,68691616010661,52
20253,65801226010661,50
20255,65159472010661,50
20255,65734911010661,50
20255,65681919010661,50
20256,68813947010661,49
20256,66004653010661,51
20256,65989369010661,50
20257,65735014010661,50
20257,65047643010661,52
20258,68642801010661,50
20258,65158756010661,51
20258,65687070010661,49
20259,65167216010661,50
20259,65768967010661,51
20259,65728113010661,46
20260,65158646010661,51
20260,65148751010661,50
20260,65772459010661,52
20261,65313672010661,51
20261,65185860010661,50
20261,65687226010661,49
20261,65969066010661,50
20262,65932192010661,50
20262,65200759010661,50
20262,65735244010661,50
20262,65912275010661,49
20263,65723910010661,52
20263,65775456010661,52
20263,65241327010661,50
20263,65687333010661,49
20263,65124598010661,51
20264,65307133010661,50
20265,65912334010661,49
20265,68835441010661,50
20265,65735352010661,50
20265,68754309010661,47
20265,65907599010661,50
20266,65311793010661,50
20266,68795553010661,50
20266,68888535010661,51
20266,65745572010661,48
20267,65735435010661,50
20267,65123272010661,50
20268,65746128010661,48
20269,65735607010661,50
20270,65735729010661,50
20270,92275235010661,49
20271,65790098010661,50
20272,65889731010661,51
20273,68743026010661,50
20273,68868995010661,50
20273,65735931010661,50
20273,65221332010661,51
20274,65284865010661,50
20274,92275514010661,49
20274,65879480010661,50
20276,92649366010661,49
20277,65334809010661,50
20277,65908506010661,51
20278,92344269010661,47
20278,92349675010661,52
20278,65334921010661,50
20278,65974725010661,49
20279,65250436010661,48
20279,92348857010661,51
